isbn,book_title,book_author,year_of_publication,publisher
0000913154,The Way Things Work: An Illustrated Encyclopedia of Technology,C. van Amerongen (translator),1967,Simon &amp; Schuster
0001010565,Mog's Christmas,Judith Kerr,1992,Collins
0001046438,Liar,Stephen Fry,0,Harpercollins Uk
0001046713,Twopence to Cross the Mersey,Helen Forrester,1992,HarperCollins Publishers
000104687X,"T.S. Eliot Reading \The Wasteland\"" and Other Poems""",T.S. Eliot,1993,HarperCollins Publishers
0001046934,The Prime of Miss Jean Brodie,Muriel Spark,1999,Trafalgar Square Publishing
0001047213,The Fighting Man,Gerald Seymour,1993,HarperCollins Publishers
0001047647,First Among Equals,Jeffrey Archer,2000,Trafalgar Square Books
0001047663,Matter Of Honour,Jeffrey Archer,2000,Trafalgar Square Books
0001047868,Kidnapped,Robert Louis Stevenson,1999,Trafalgar Square Publishing
0001047973,Brave New World,Aldous Huxley,1999,Trafalgar Square Publishing
000104799X,Monk's-hood,Ellis Peters,1994,HarperCollins Publishers
0001048082,Made in America,Bill Bryson,1995,HarperCollins Publishers
0001048473,Nothing Can Be Better,Barns &amp; Budd,1996,Atlantic
0001049879,Daughters of the Storm,Elizabeth Buchan,1996,HarperCollins Publishers
0001052039,Dark Spectre,Michael Dibdin,1997,HarperCollins Publishers
0001053736,Sir Gawain and the Green Knight,J. R. R. Tolkien,1999,HarperCollins UK
0001053744,Pearl and Sir Orfeo,J. R. R. Tolkien,1999,Trafalgar Square Publishing
0001055607,Cereus Blooms At Night,Shani Mootoo,0,Fairmount Books Ltd Remainders
0001056107,Farmer Giles of Ham: And Other Stories,J. R. R. Tolkien,1999,Trafalgar Square
0001061127,CHESS FOR YOUNG BEGINNERS,William T. McLeod,1975,HarperCollins Publishers
000123207X,Paddington's Birthday Party,Michael Bond,1942,HarperCollins Publishers
0001232088,Paddington in the Kitchen,Michael Bond,1942,HarperCollins Publishers
0001360469,Babe Dressing,Mandy Stanley,1997,HarperCollins Publishers
0001372564,Which Colour?,Sue Dreamer,1989,HarperCollins Publishers
0001374362,When It's Time for Bed (Collins Baby &amp; Toddler S.),Nick Butterworth,1994,Collins
0001374869,Baby Plays (Collins Baby and Toddler Series),Fiona Pragoff,1994,HarperCollins Publishers
0001382381,Huck Scarry's Steam Train Journey,Huck Scarry,1979,HarperCollins Publishers
0001382608,On the Road,Huck Scarry,1981,HarperCollins Publishers
000160418X,The Clue in the Crumbling Wall,Carolyn Keene,1984,HarperCollins Publishers
0001711105,The Book of Riddles (Beginner Books),Bennett Cerf,1983,HarperCollins Publishers
0001711253,The Big Honey Hunt,Stan Berenstein,1942,HarperCollins Publishers
000171421X,It's Not Easy Being a Bunny (A Beginner Book),Marilyn Sadler,1984,HarperCollins Publishers
0001714236,Spooky Riddles,Mark Brown,1984,HarperCollins Publishers
0001714600,I Want to Be Somebody New! (I Can Read It All by Myself),Robert Lopshire,1986,HarperCollins Publishers
0001718126,ARE YOU MY MOTHER MINI PB (EXPORT),Seuss,1993,HarperCollins Publishers
0001811150,Day Time (Step by Step),Diane Wilmer,1987,HarperCollins Publishers
0001811819,Paddington and the Marmalade Maze (Paddington First Books),Michael Bond,1987,HarperCollins Publishers
0001821326,Paddington at the Tower (A Paddington Picture Book),Michael Bond,1976,Collin
0001821504,The Adventures of Paddington,Michael Bond,1970,HarperCollins Publishers
0001837397,Autumn Story Brambly Hedge,Jill Barklem,0,William Collins Sons Co Ltd
0001840517,Bess,Robert Leeson,1975,Collins
0001841572,Red Shift,Alan Garner,1973,Collins
000184251X,February's Road,John Verney,1987,HarperCollins Publishers
0001842749,The Growing Summer,Noel Streatfeild,1984,HarperCollins Publishers
0001845039,The Moon of Gomrath,Alan Garner,1983,HarperCollins Publishers
0001846086,There Will Be a Next Time,Tony Drake,1984,HarperCollins Publishers
0001848445,THE COAL HOUSE T/PB,Andrew Taylor,1986,HarperCollins Publishers
0001848461,SONG OF THE CITY CSD,Gareth Owen,1987,HarperCollins Publishers
0001850121,A place called Lantern Light,Ellen Miller,1975,Collins
0001856367,The Collins Book of Ballet and Dance,Jean Ure,1996,HarperCollins Publishers
0001857258,Little Wolf's Book of Badness,Ian Whybrow,1999,Collins
0001900277,Glue (First Facts - First Skills),Harriet Hains,1989,HarperCollins Publishers
0001935968,The Brambly Hedge Treasury,Jill Barklem,1991,HarperCollins Publishers
0001939203,The Collins Book of Nursery Tales,Jonathan Langley,1993,HarperCollins Publishers
0001941941,Little Grey Rabbit's Christmas (Collins Colour Cubs),Alison Uttley,1978,HarperCollins Publishers
0001941968,Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs),Alison Uttley,1978,HarperCollins Publishers
000194214X,Little Grey Rabbit makes lace (The Little Grey Rabbit library),Alison Uttley,1986,Collins
0001944711,Count Duckula: Vampire Vacation,Maureen Spurgeon,1988,HarperCollins Publishers
0001944835,Hilda Boswell's Blue Treasury,Hilda Boswell,1988,HarperCollins Publishers
0001945203,The Revenge of Murray the Mantis,Maureen Spurgeon,1988,HarperCollins Publishers
